Number;Text;Flag
1014321;Our healer is close to the east dock.;Original
1014322;Our inn is at the south end of the isle, near the docks, o'course.;Original
1014323;Our theatre is on the northern edge of town, just a bit north and east of the beekeeper.;Original
1014324;The alchemist's shop is the very most northeast place in town.;Original
1014325;The animal trainer sets up shop just north of the beekeeper. They are much the same thing, to my mind.;Original
1014326;The armourer is toward the center of town, but off a bit to the north-west.;Original
1014327;The beekeeper has a shop toward the north of town, just south of the theatre.;Original
1014328;The bowyer is north and a little west of the inn. In my opinion, the work is excellent.;Original
1014329;The butcher shop is in the midst of town, betwixt the tavern and the magic shop.;Original
1014330;The clothier keeps his shop on the east shore, three doors north of the dock.;Original
1014331;The rangers' guildhall is on the west side of the isle. 'Tis north of the tavern and Town Hall, y'know.;Original
1014332;The tavern sits on the western shore. It is just north of Town Hall;Original
1014333;There is a shop of gentle magics, and that's a fact. 'Tis very near the exact center of town.;Original
1014334;This is fine country for growing food. Our farmers sell at a shop near the northern edge of town, toward the middle and just south of the theatre.;Original
1014335;Thou hast a choice. There is one guild on the northwest side of town, and another just across the water to the east.;Original
1014336;Town Hall, eh? Well, and I hope thou bring no trouble to our fair isle. Walk west and south to get there.;Original
1014337;Weapons can be had from the shop in the north-east corner of town.;Original
1014338;We've a fine shipwright, close on to the southernmost dock.;Original
1014339;Woodcrafter? That shop is toward the north of town, center between the weaponsmith and the farmers' shop.;Original
1014340;Any thieves or other such riffraff are incarcerated in the Constabulary, just north of the Traveler's Gate.;Original
1014341;Fine gems are the trade of our master jeweler, who has set up shop on the south side of our commercial district, neighboring the baker and the healer.;Original
1014342;If thou hast a mind to see a tinker, the shop is in the southern part of the city ... just follow the river up to where it enters the city, and thou'lt find the place.;Original
1014343;If thou'rt looking for the Fishers' Guild, go to the farthest part of the city to the southeast. The guildhall is next to the fish market.;Original
1014344;Our baker is in the southern part of the city, just to the south and east of the Traveler's Gate.;Original
1014345;Our Engineers' Guild is in the northwest corner of town.;Original
1014346;Our provisioner's shop is the first thing one sees coming into the city. 'Tis the large building to the south of the entrance gate.;Original
1014347;The armour shop is north of the monastery and mayor's house. I think you'll be pleased with the selection.;Original
1014348;The butcher's shop is in the southeast corner of Trinsic.;Original
1014349;The Guild of Engineers meets in their hall in the northwest section of town.;Original
1014350;The mayor lives in the north side of town, betwixt the armourer and the monastery.;Original
1014351;The monastery is renowned for its serene gardens. 'Tis on thy left as thou comes into the city.;Original
1014352;The paladins meet in their guildhall, found on the eastern side of their island.;Original
1014353;The paladins who live in Trinsic call the barracks home. They are in the northern part of the eastern half of town.;Original
1014354;The stables are just a pace to the west of the inn.;Original
1014355;The tailor's shop is a bit apart from the others. It is a bit south and east of the river's fork.;Original
1014356;The tavern is just west of the fork in the river.;Original
1014357;There's a good weaponsmith in the center of town, just a few paces south of the Soldier's Gate.;Original
1014358;There's a guild or two in Trinsic. The Fisher Guild is to the southeast, and the Engineer's Guild is to the northwest. The Paladins' Guild is on their island, of course.;Original
1014359;Thou'rt in Trinsic, of course, near the Cape of Heroes we are.;Original
1014360;Thou'rt looking to train? The training salle is just inside the Soldier's Gate.;Original
1014361;To find the shrine, simply walk to the point most north and east of town. 'Tis close to the water.;Original
1014362;We have a very fine mage indeed. Thou canst find him just north of the inn, above the Traveler's Gate.;Original
1014363;We have but one healer, and too far a walk from the training grounds, to my mind. If thou hast wounds, look to the south of the commercial district.;Original
1014364;We have guardhouses at most strategic locations: especially wall corners with good visibility.;Original
1014365;We have two inns, one at the easternmost part of town, and one in the west, a bit to the north.;Original
1014366;You can't get fish fresher than at our fish market. It is outside the city gates, on the sea side.;Original
1014367;Customs is in the very southeast part of Vesper.;Original
1014368;I can tell thee that our mage buys reagents from the reagent shop near the docks. The stuff comes from all over, and Vesper gets first pick-through.;Original
1014369;I hope thou hast had no trouble in Vesper, friend. The town hall is a southern island, one door south of the warriors' guild.;Original
1014370;If I knew there was a thieves guild, I'd tell the guards first!;Original
1014371;If thou'rt in need of armour, look on the central westernmost island of Vesper.;Original
1014372;If thou'rt looking for potions, the shop thou needest is to the far north of Vesper, on the same island as the Jeweler.;Original
1014373;Lookin' for the Bards' Guild? 'Tis the southernmost building on the northernmost island of Vesper.;Original
1014374;On a lazy afternoon I like to wander around in Vesper's museum. It is the large building east of the tanner.;Original
1014375;On the centermost island, farthest to the east, thou canst find the Seaman's guild.;Original
1014376;On the western shore, at the southern end of Vesper, is an inn. It is much the same as the inn on the south-central island.;Original
1014377;Our bank is on the northmost island. Look for the jeweler and the painter's studio.;Original
1014378;Our healer has trained with the best, friend, as will be more than able to ease thy suffering. Look on a small island, just one bridge east of the blacksmith, or one bridge south of the woodworker.;Original
1014379;Our mortuary and crypts are on the western bank, north of the inn.;Original
1014380;Our tinker's shop can be found on a central island, somewhat north.;Original
1014381;The baker's place is on the island just north of the docks.;Original
1014382;The bee hives are kept on a small islet at the northeast. 'Tis north of the butcher and baker, and east of the painter's studio.;Original
1014383;The best artist's studio, and by coincidence the only one, is on the northern isle, near the guild houses.;Original
1014384;The farmer brings his produce in from the fields and sells it from his shop on the island just north of the docks.;Original
1014385;The jeweler keeps shop on the northern island, betwixt the miners' and bards' guild halls.;Original
1014386;The shipwright is the nearest building to the docks, o'course!;Original
1014387;The soldiers and fighters gather in their hall on the large southern island.;Original
1014388;The tailor is on the eastern shore of the river. Take the bridge from the northern isle and then go south.;Original
1014389;The tanner is one bridge away from shore, at the point farthest south of the city.;Original
1014390;The tavern is on one of the southern islands, I believe toward the center. I see it when I run errands to the customs house.;Original
1014391;The woodworker's shop can be found but one bridge north of the healer's island.;Original
1014392;There are a fair number of sorcerers here, and that's a fact. They meet in the upper floors of their hall on the north island.;Original
1014393;There are mages who will sell their talents, true enough. Merely look on the ground floor of their guildhall on the north island.;Original
1014394;There is naught but fresh fish in Vesper, and 'tis easiest had from the fisherman's shop. Look near the baker and butcher's places.;Original
1014395;There's a fine tailor's shop in Vesper. Look to the largest southern island, in the building just north of the warriors' guildhouse.;Original
1014396;Thou might try one of the center islands, away to the west. Methinks I've seen a bowyer's sign hanging there.;Original
1014397;Thou'lt be wanting supplies, I take it? The provisioner keeps a shop to the north of town, on the shore.;Original
1014398;Thou'lt find the blacksmith on the largest of the southern isles.;Original
1014399;Thou'lt find the Miners' Guildhouse on the northernmost island, just where the river breaks around Vesper.;Original
1014400;Thou'rt looking for the butcher, I take it. Get thee to the docks, then take the bridge north from that island. The butcher is the first building thou'lt see.;Original
1014401;Vesper, thou canst see, is on the eastern coast of Britannia, to the north.;Original
1014402;Food is a necessity, but certainly nothing to waste time over. Our communal eating area is to the far east of Wind.;Original
1014403;If thou needest a healer, look to the eastern central part of wind. 'Tis close by the food place, if thou knowest where that is, but farther south and west.;Original
1014404;Inns are scattered throughout Wind. One is northwest, one is northeast, and one is south.;Original
1014405;Labs are places of study and discovery. We've one to the northwest of Wind, and one to the east.;Original
1014406;Lord British became ruler of the united realm of Britannia when he wrested control from the 'evil' Lord Robert. The stories that are mostly known are, of course, mostly apocryphal.;Original
1014407;Lord British is the ruler of Britannia. He seems a kind and just king, trying to do the right thing for his people.;Original
1014408;Magincia is an island city east of Britain. It is all pride and foolishness, for it has never known deprivation.;Original
1014409;Minoc is in the northmost part of the realm, a bit to the east. It is in the mountains, and is economically dependent on the nearby ore mines.;Original
1014410;Moonglow is on the southern tip of Verity isle, and is a very logical place. They buy other cities' technology and examine it to see how it works. Laudable.;Original
1014411;Our libraries are filled with scholars grazing on information. Look to the center of Wind for our collected tomes of knowledge.;Original
1014412;Our only supply of reagents are sold in the central part of Wind. Look close by the libraries, in the same general location of the healer.;Original
1014413;Serpent's Hold is on the largest island just east and south of the Cape of Heroes. It is where all the fighters of Britannia are trained.;Original
1014414;Skara Brae is on an island due west of Britain. They study a mental form of magic that is unusual for that part of the world.;Original
1014415;Tailor made clothes and repairs thou canst find at the tailor's shop, east of the provisioner.;Original
1014416;This is Wind, of course. We study all manner of things: magic, the world, the inexplicable self.;Original
1014417;Thou canst purchase thy supplies from the provisioner, found south and west from the northwestern inn.;Original
1014418;Yew is in the northwest region of Britannia. It is home to the Empath Abbey where the famous wine is made.;Original
1014419;Fresh meat can be had from the butcher, in the clearing at the center of Yew.;Original
1014420;Fresh vegetables and other nourishing foods are sold at the market in the center of town. Look for a shop close by the butcher and baker.;Original
1014421;If thou hast grain to be milled, take it to the flour mill just a bit west of the Abbey.;Original
1014422;If thou'rt handy with a bow and arrows, then surely thou'lt be interested in our bowyer's excellent work. Look in his shop at the center of town ... there a selection that'll make thy head spin.;Original
1014423;It was decided a long time ago that local judges would sit on the High Court. If thou wishes to see the court, head west and north of town. I cannot say if there is a trial in progress, however.;Original
1014424;The cemetery is to the south and east of town.;Original
1014425;The healers in Yew are specialized in natural cures. There are at least two in town: one is southeast and one is central.;Original
1014426;The monks in the abbey that lies to the northeast spend their time studying painting, sculpting, prose, poetry, music ... and wine.;Original
1014427;The prison is past the High Court to the northwest ... although it is not a common tourist site. Usually people come here for the wine.;Original
1014428;The vineyards and winery are just south of the abbey, to the east of the flour mill and across the little inlet.;Original
1014429;There is a prison storehouse between the High Court and the prison.;Original
1014430;We do have a baker, and a fine one at that. To find the bakery, find the market near the center of Yew. The baker hangs his sign between that of the butcher and the woodworker.;Original
1014431;Yew is famous for its wood crafts. There is a woodwork shop near the bakery, just a bit south of the bowyer.;Original
1014432;Yew, thou hast found, is in the northwest region of Britannia.;Original
1014433;Dost thou need to improve thy alchemy? Sure, I might be able to teach thee.;Original
1014434;I am an alchemist.;Original
1014435;I train animals.;Original
1014436;I am an architect.;Original
1014437;I'm an armourer.;Original
1014438;I've been known to teach some how to improve their skills, for a few coins.;Original
1014439;I am an artist.;Original
1014440;Yes, I'm the baker. How can I help thee?;Original
1014441;I am a Banker.;Original
1014442;I am a bard. A minstrel. A thoughtful troubadour.;Original
1014443;Accept my apologies, for my lack of comprehension.;Original
1014444;If 'twere in my capabilities to help thee, I surely would.;Original
1014445;I cannot fathom what 'tis that thou wishest.;Original
1014446;I'm a beekeeper.;Original
1014447;I'm between jobs at the moment. But if thou couldst find it in thine heart to help out a soul in need, I'm sure that my luck will change!;Original
1014448;I've been a smith for a good number of years.;Original
1014449;I'm a bowyer by trade.;Original
1014450;I am sort of like a porter. I lighten the burdens of rich travelers.;Original
1014451;I am a butcher.;Original
1014452;I'm the carpenter here.;Original
1014453;I can give thee some practice in carpentry, all thou dost need do is to ask.  And leave me a few coins.;Original
1014454;A Cashual is one who has a deep understanding of the practical applications of natural philosophy.;Original
1014455;I can give thee some practice in our art, all thou dost need do is to ask.  And leave me a few coins.;Original
1014456;I'm a cobbler.;Original
1014457;Fare thee well.;Original
1014458;Goodbye, stranger.;Original
1014459;May the rest of thy day be pleasant.;Original
1014460;Thou wishest to speak with me?;Original
1014461;Thou hast mine attention.;Original
1014462;What is it thou wishest?;Original
1014463;I am listening to thee.;Original
1014464;I am a cook and baker.;Original
1014465;I've been known to teach some how to improve their cookin', for a few coins.;Original
1014466;Pardon me?,;Original
1014467;Excuse me?,;Original
1014468;I do not understand.;Original
1014469;I beg thee, do not harm me. I cannot help thee.;Original
1014470;I do not understand thee--I am sure it must be my fault, however.;Original
1014471;Begging thy pardon, but I fail to understand what it is that thou wantest.;Original
1014472;I wish I could answer thee, so that thou wouldst leave me alone.;Original
1014473;Excuse my incomprehension, oh mighty terrorizer of small children, but I did not understand thee, and would find life more pleasant without thy ilk nearby.;Original
1014474;I am sorry, but I do not always understand the utterances of petty criminals.;Original
1014475;Forgive me, but I do not understand.;Original
1014476;Excuse me? Forgive my lack of comprehension.;Original
1014477;If I look perplexed, 'tis because I am.;Original
1014478;Accept my apologies, for my lack of comprehension.;Original
1014479;If 'twere in my capabilities to help thee, I surely would.;Original
1014480;I cannot fathom what 'tis that thou wishest.;Original
1014481;Begging thy pardon, but in my awe at seeing thee actually here before me, I neglected to listen closely to what thou spoke.;Original
1014482;Sadly, I must report that I know nothing of what thou speakest.;Original
1014483;Help me to understand thee, for I know not what thou seekest.;Original
1014484;I am a simple farmer. I raise crops.;Original
1014485;I am paid to fight!,;Original
1014486;I've been known to teach a select few how to improve their fighting, for a few coins.;Original
1014487;I am a fisherman.;Original
1014488;I can give thee some fishing tips, all thou dost need do is to ask.  And I do expect to be paid for my time.;Original
1014489;My trade is selling pelts of all sorts.;Original
1014490;I can teach thee about the animals in the forest and how to know more about them, if thou art willing.;Original
1014491;I'm a gamer by trade.  The cards and dice are my partners.;Original
1014492;I could show thee a few things that the local guard wouldn't much take to, I'm sure.;Original
1014493;I'm a glassblower.;Original
1014494;Greetings.  What might I do for thee?,;Original
1014495;Greetings.  What might I help thee with?,;Original
1014496;Yes?,;Original
1014497;Hello, my friend!  How may I assist thee?,;Original
1014498;Hello!;Original
1014499;I am a guard.;Original
1014500;I'm a wanderer, and take whatever fortune offers me.;Original
1014501;If thou dost want to learn, I might be persuaded to teach thee about such things as camping in the wild. Or not being seen when thou dost not WANT to be seen. Thou wouldst need to pay me, thou knowest.;Original
1014502;I am one of the many healers of Britannia. I also sell potions and healing scrolls.;Original
1014503;If thou dost want to learn, I might be persuaded to teach thee about first aid. I could teach thee, also, about the human anatomy. Thou wouldst need to pay me, of course.;Original
1014504;I sell many fragrant dried herbs and flowers.;Original
1014505;If thou dost want to learn, I might be persuaded to teach thee some alchemy skills. Thou wouldst need to pay me, of course.;Original
1014506;I have some horses here that I could sell to thee.;Original
1014507;I am an innkeeper.;Original
1014508;I am an innkeeper.;Original
1014509;Thy nearness offends me.;Original
1014510;Stand back, I do not wish to be seen so near to thee.;Original
1014511;I'm the jailkeeper.;Original
1014512;I'm a maker of fine jewelry.;Original
1014513;I'm a judge of the High Court of Britannia.;Original
1014514;I am a laborer, and working is how I spend my days.;Original
1014515;I am a wizard, a weaver of spells.;Original
1014516;If thou dost need help with thy magic, just ask me to teach thee and I will. For a small price.;Original
1014517;I am a mapmaker. Wouldst thou like to learn to make maps? In theory, 'tis simple - find a blank map, go to the spot thou wouldst map, and map it. In practice, of course, this requires a bit of skill ...;Original
1014518;If thou dost need help with thy mapmaking, just ask me to teach thee and if I can, I will.;Original
1014519;If thou hast guild business, thou may bring it to me. I am the guildmaster.;Original
1014520;I'm the mayor, friend. Welcome to our fair city!,;Original
1014521;I am a miller.;Original
1014522;I work in the mines.;Original
1014523;I am a minter.;Original
1014524;I'm a brother at Empath Abbey.;Original
1014525;I'm doing well enough, now.;Original
1014526;Things seem to be going well.;Original
1014527;No no no, a job is for those who lack money!  Nobility doesn't take jobs.;Original
1014528;I'm the pit overseer.;Original
1014529;I am a Paladin of Britannia!,;Original
1014530;I am a member of Parliament.;Original
1014531;I live on the sea.  'Tis no job, but a life!,;Original
1014532;I am a humble servant of the Gods.;Original
1014533;I'm a prisoner!  Can't thou see that?,;Original
1014534;I sell general provisions.;Original
1014535;I'm a cattle rancher.;Original
1014536;I am a ranger. I spend most of my days in the woods, observing and tracking animals. I hunt that I may eat, and try to live in harmony with the land.;Original
1014537;Tracking is more of an art than a science, but it begins with a thorough knowledge of the traits and habits of the creature being tracked. I can help thee with that, I think.;Original
1014538;I am the realtor for this town. If thou desires a domicile of thy own, I can help thee.;Original
1014539;And hello again. How may I help thee, _Name_?;Original
1014540;And hello to thee, again.;Original
1014541;I am a message carrier.  Pardon me, I need to be running.;Original
1014542;I'm a sailor, my friend!,;Original
1014543;Ah, this will be useful.;Original
1014544;Excellent. 'Tis my lucky day.;Original
1014545;I've been needing one of these.;Original
1014546;This will come in handy indeed.;Original
1014547;Well, look what I found!;Original
1014548;I study ancient times and ancient tomes.;Original
1014549;I'm a humble scrivener.;Original
1014550;I'm a sculptor.;Original
1014551;I serve the needs of Magincian nobles.;Original
1014552;I tend to the sheep and keep them safe.;Original
1014553;I'm a shipwright.;Original
1014554;I am a _Job_.  What wouldst thou expect me to sell?,;Original
1014555;If thou art interested in selling an item to me, then thou must give it to me and I'll decide if I need it in my stock. Otherwise, thou can buy anything that I sell here.;Original
1014556;I'm a tailor.;Original
1014557;I am sure I can break my busy schedule to lend thee some instruction, assuming thou hast some coin.;Original
1014558;I am a tanner in this fine town.;Original
1014559;I'm the tavernkeeper here.;Original
1014560;I'm the tavernkeeper here.;Original
1014561;Aye. I have been called thief, rogue and rapscallion and some things far worse, as I am sure thou hast been. Let us not say that again for others might hear and recognize us.;Original
1014562;I'm a tinker.;Original
1014563;It will take a steady hand and a sure eye to be a tinker. If thou art willing to learn, then I can help thee.;Original
1014564;Why I am a veterinarian.;Original
1014565;I serve food.;Original
1014566;I am one of the many wandering healers of Britannia.;Original
1014567;If thou dost need help with first aid, just ask me to teach thee and if I can, I will. For a small price.;Original
1014568;I'm a smith.;Original
1014569;I am a weapons trainer.;Original
1014570;I'm a weaver.;Original
1015000;<center>Menu Alchymie</center>;Modified
1015001;Černá perla;Modified
1015002;Osvěžení;Modified
1015003;Úplné osvěžení;Modified
1015004;Krvavý mech;Modified
1015005;Hbitost;Modified
1015006;Větší Hbitost;Modified
1015007;Pavoučí hedvábí;Modified
1015008;Vidění v noci;Modified
1015009;Ženšen;Modified
1015010;Lehčí Léčení;Modified
1015011;Léčení;Modified
1015012;Větší Léčení;Modified
1015013;Mandragora;Modified
1015014;Sila;Modified
1015015;Větší Síla;Modified
1015016;Blín;Modified
1015017;Lehčí Jed;Modified
1015018;Jed;Modified
1015019;Silný Jed;Modified
1015020;Smrtelný Jed;Modified
1015021;Česnek;Modified
1015022;Lehčí Uzdravení;Modified
1015023;Uzdravení;Modified
1015024;Větší Uzdravení;Modified
1015025;Střelný prach;Modified
1015026;Lehčí Exploze;Modified
1015027;Exploze;Modified
1015028;Silná Exploze;Modified
1015029;<center>Menu Kovařiny</center>;Modified
1015030;Rukavice;Modified
1015031;Rukávy;Modified
1015032;Kamaše;Modified
1015033;Tunika;Modified
1015034;Čepec;Modified
1015035;Límec;Modified
1015036;Náručí;Modified
1015037;Nohavice;Modified
1015038;Ženské Brnění;Modified
1015039;Helma;Modified
1015040;Bascinet;Modified
1015041;Severská Helma;Modified
1015042;Uzavřená Helma;Modified
1015043;Obrněná Helma;Modified
1015044;Malý Kulatý Štít;Modified
1015045;Bronz;Modified
1015046;Železo;Modified
1015047;small kite;Original
1015048;kite;Original
1015049;heater;Original
1015050;dýka;Modified
1015051;šavle;Modified
1015052;katana;Original
1015053;kryss;Original
1015054;scimitar;Original
1015055;broadsword;Original
1015056;dlouhý meč;Modified
1015057;viking sword;Original
1015058;battle axe;Original
1015059;sekera;Modified
1015060;popravčí sekera;Modified
1015061;obouruční sekera;Modified
1015062;double axe;Original
1015063;large battle axe;Original
1015064;war axe;Original
1015065;shortspear;Original
1015066;spear;Original
1015067;warfork;Original
1015068;bardiche;Original
1015069;halapartna;Modified
1015070;mace;Original
1015071;maul;Original
1015072;válečný palcát;Modified
1015073;war hammer;Original
1015074;hammer pick;Original
1015075;<center>Menu Truhlařiny</center>;Modified
1015076;Židle;Modified
1015077;Barová Stolička;Modified
1015078;Stolička;Modified
1015079;Straw Chair;Original
1015080;Wooden Chair;Original
1015081;Lavice;Modified
1015082;Dřevěný Trůn;Modified
1015083;Královský Trůn;Modified
1015084;Vesper Style;Original
1015085;Trinsic Style;Original
1015086;Stoly;Modified
1015087;Malý Stůl;Modified
1015088;Psací Stůl;Modified
1015089;Velký Stůl;Modified
1015090;Yew-wood Table;Original
1015091;Nádoby;Modified
1015092;Malá Truhla;Modified
1015093;Malá Bedna;Modified
1015094;Středně velká Bedna;Modified
1015095;Otevřený Soudek;Modified
1015096;Velká Bedna;Modified
1015097;Bedna;Modified
1015098;Regál;Modified
1015099;Almara;Modified
1015100;Ostatní;Modified
1015101;Desky;Modified
1015102;Skruže Sudu;Modified
1015103;Víko Sudu;Modified
1015104;Dřevěný štít;Modified
1015105;Easel (S);Original
1015106;Easel (E);Original
1015107;Easel (N);Original
1015108;Staves & Poles;Original
1015109;Rybářský Prut;Modified
1015110;Ovčákova hůl;Modified
1015111;Quarter Staff;Original
1015112;Gnarled Staff;Original
1015113;Musical Items;Original
1015114;Lap Harp;Original
1015115;Standing Harp;Original
1015116;Buben;Modified
1015117;Loutna;Modified
1015118;Tamburína;Modified
1015119;Tambourine w/tassle;Original
1015120;Short Stand;Original
1015121;Tall Stand;Original
1015122;House Additions;Original
1015123;Sm Bed (S);Original
1015124;Sm Bed (E);Original
1015125;Lg Bed (S);Original
1015126;Lg Bed (E);Original
1015127;Dartboard (S);Original
1015128;Dartboard (E);Original
1015129;Ballot Box;Original
1015130;Pentagram;Original
1015131;Abbatoir;Original
1015132;Blacksmith Add-ons;Original
1015133;Small Forge;Original
1015134;Lg Forge (E);Original
1015135;Lg Forge (S);Original
1015136;Kovadlina (V);Modified
1015137;Kovadlina (J);Modified
1015138;Tailor Add-ons;Original
1015139;Kolovrátek (E);Modified
1015140;Kolovrátek (S);Modified
1015141;Tkalcovský stav (E);Modified
1015142;Tkalcovský stav (S);Modified
1015143;Dummy (E);Original
1015144;Dummy (S);Original
1015145;Pickpocket (E);Original
1015146;Pickpocket (S);Original
1015147;Dressform;Original
1015148;Doplňky pro vaření;Modified
1015149;Pec (V);Modified
1015150;Pec (J);Modified
1015151;Mlýn na obilí (V);Modified
1015152;Mlýn na obilí (J);Modified
1015153;Koryto s Vodou (V);Modified
1015154;Koryto s Vodou (J);Modified
1015155;<center>Menu Výroby střelných zbraní</center>;Modified
1015156;Opeření;Modified
1015157;Klestí;Modified
1015158;Dříky;Modified
1015159;Luk;Modified
1015160;Kuše;Modified
1015161;Těžká Kuše;Modified
1015162;<center>Menu Psaní</center>;Modified
1015163;1. Kruh;Modified
1015164;Clumsy;Original
1015165;Uvařit Jídlo;Modified
1015166;Feeblemind;Original
1015167;Magicky Sip;Modified
1015168;Noční Vidění;Modified
1015169;Reactive Armor;Original
1015170;Oslabení;Modified
1015171;2. Kruh;Modified
1015172;Cunning;Original
1015173;Harm;Original
1015174;Magická Past;Modified
1015175;Magické Odstranění pasti;Modified
1015176;Ochrana;Modified
1015177;3. Kruh;Modified
1015178;Pozehnani;Modified
1015179;Ohnivá Střela;Modified
1015180;Magicky Zamek;Modified
1015181;Telekinese;Modified
1015182;Teleport;Original
1015183;Odemkni;Modified
1015184;Kamenna Stena;Modified
1015185;4. Kruh;Modified
1015186;Arch Cure;Original
1015187;Arch Protection;Original
1015188;Prokleti;Modified
1015189;Ohnivé Pole;Modified
1015190;Blesky;Modified
1015191;Vysátí Many;Modified
1015192;Recall;Original
1015193;5. Kruh;Modified
1015194;Blade Spirits;Original
1015195;Dispel Field;Original
1015196;Incognito;Original
1015197;Magic Reflection;Original
1015198;Mind Blast;Original
1015199;Paraliza;Modified
1015200;Jedove Pole;Modified
1015201;Vyvolej Příšeru;Modified
1015202;6. Kruh;Modified
1015203;Rozptyl Magii;Modified
1015204;Energetická Šipka;Modified
1015205;Neviditelnost;Modified
1015206;Mark;Original
1015207;Masivni Prokleti;Modified
1015208;Pole Paralizy;Modified
1015209;Reveal;Original
1015210;7. Kruh;Modified
1015211;Chain Lightning;Original
1015212;Energetické Pole;Modified
1015213;Plamen;Modified
1015214;Gate Travel;Original
1015215;Mana Vampire;Original
1015216;Masivní Rozptýlení Magie;Modified
1015217;Roj Meteorů;Modified
1015218;Polymorf;Modified
1015219;8. Kruh;Modified
1015220;Zemětřesení;Modified
1015221;Energetický vír;Modified
1015222;Oživení;Modified
1015223;Vzdušný Elementál;Modified
1015224;Vyvolej Démona;Modified
1015225;Zemní Elementál;Modified
1015226;Ohnivý Elementál;Modified
1015227;Vodní Elementál;Modified
1015228;<center>Menu Kartografie</center>;Modified
1015229;Mapy;Modified
1015230;mapa místa;Modified
1015231;mapa města;Modified
1015232;sea chart;Original
1015233;mapa světa;Modified
1015234;<center>Menu Přeměny</center>;Modified
1015235;Zvířata;Modified
1015236;Kuře;Modified
1015237;Pes;Modified
1015238;Vlk;Modified
1015239;Panter;Modified
1015240;Gorila;Modified
1015241;Černý Medvěd;Modified
1015242;Medvěd Grizzly;Modified
1015243;Lední Medvěd;Modified
1015244;Člověk - Muž;Modified
1015245;Příšery;Modified
1015246;Sliz;Modified
1015247;Ork;Modified
1015248;Ještěří Muž;Modified
1015249;Gargojl;Modified
1015250;Obr;Modified
1015251;Trol;Modified
1015252;Ettin;Original
1015253;Démon;Modified
1015254;Člověk - Žena;Modified
1015255;<center>Menu Krejčího</center>;Modified
1015256;Klobouky;Modified
1015257;čapka;Modified
1015258;čelenka;Modified
1015259;měkký klobouk;Modified
1015260;wide-brim hat;Original
1015261;přiléhavá čapka;Modified
1015262;tall straw hat;Original
1015263;straw hat;Original
1015264;čarodějův klobouk;Modified
1015265;bonnet;Original
1015266;klobouček s pírkem;Modified
1015267;trojcípý klobouk;Modified
1015268;šaškova čepice;Modified
1015269;Trička;Modified
1015270;doublet;Original
1015271;tričko;Modified
1015272;pěkná košile;Modified
1015273;surcoat;Original
1015274;Prosté šaty;Modified
1015275;Zdobené šaty;Modified
1015276;plášť;Modified
1015277;róba;Modified
1015278;šaškovo oblečení;Modified
1015279;kalhoty;Modified
1015280;dlouhé kalhoty;Modified
1015281;kilt;Original
1015282;sukně;Modified
1015283;Různé;Modified
1015284;šerpa;Modified
1015285;malá zástěra;Modified
1015286;zástěra;Modified
1015287;voskované plátno;Modified
1015288;Obuv;Modified
1015289;sandály;Modified
1015290;nízké boty;Modified
1015291;boty;Modified
1015292;vysoké boty;Modified
1015293;kožené brnění;Modified
1015294;kožený límec;Modified
1015295;kožená čapka;Modified
1015296;kožené rukavice;Modified
1015297;kožené rukávy;Modified
1015298;kožené kamaše;Modified
1015299;kožená tunika;Modified
1015300;Pokované Brnění;Modified
1015301;pokovaný límec;Modified
1015302;pokované rukavice;Modified
1015303;pokované rukávy;Modified
1015304;pokované kamaše;Modified
1015305;pokovaná tunika;Modified
1015306;Ženské Brnění;Modified
1015307;kožené krátké kalhoty;Modified
1015308;kožená sukně;Modified
1015309;kožený bustier;Modified
1015310;pokovaný bustier;Modified
1015311;ženské kožené brnění;Modified
1015312;ženské pokované brnění;Modified
1015313;<center></center>;Original
1015314;Faction Gas;Original
1015315;Faction Explosion;Original
1015316;Faction Spike;Original
1015317;Faction Saw;Original
1015318;Dřevěné Věci;Modified
1015319;More Hats;Original
1015320;Vousy;Modified
1015321;Krátké vousy s knírem;Modified
1015322;Plnovous s knírem;Modified
1015323;Bradka;Modified
1015324;Sekáček;Modified
1015325;More Held Items;Original
1015326;Volby;Modified
1015327;Muž;Modified
1015328;Žena;Modified
1016000;1;Original
1016001;10a;Original
1016002;10b;Original
1016003;11;Original
1016004;12;Original
1016005;13;Original
1016006;14;Original
1016007;15;Original
1016008;2;Original
1016009;3;Original
1016010;4;Original
1016011;5;Original
1016012;6a;Original
1016013;6b;Original
1016014;7;Original
1016015;8;Original
1016016;9;Original
1016017;Svitek Vyvolání Démona;Modified
1016018;Nejlepší Přítelkyně;Modified
1016019;Svitek Odhal Past;Modified
1016020;A Mass Dispel Scroll;Original
1016021;A Reactive Armor Scroll;Original
1016022;A Stitch in Time;Original
1016023;A blood-stained mural portraying a colossal procession of men chained together, led towards a black pit by five cloaked figures;Original
1016024;A calm mind may travel where others may not tread;Original
1016025;A crumbling mural of a masked figure standing on a mountain's summit, gazing down upon a valley filled with cloaked figures.;Original
1016026;A crumbling mural of five cloaked figures standing before a black pit, from which rise hundreds of vile, writhing tentacles.;Original
1016027;A detailed mural depicting a striking figure standing before an altar.  In one hand he holds a dagger, in the other, a skull.;Original
1016028;A detailed mural of two armies in conflict under a black sky. In the center, a cloaked figure strikes down a man bent in prayer;Original
1016029;A finely crafted mural depicting a masked figure seated upon a lavish throne. Five cloaked figures kneel before him.;Original
